"family","Nucinellidae","Solemyidae","Yoldiidae","Nuculanidae","Malletiidae","Nuculidae","Isognomonidae","Pteriidae","Malleidae","Pulvinitidae","Gryphaeidae","Ostreidae","Mytilidae","Pinnidae","Arcidae","Noetiidae","Limopsidae","Glycymerididae","Limidae","Anomiidae","Dimyidae","Plicatulidae","Placunidae","Pectinidae","Spondylidae","Propeamussiidae","Lucinidae","Thyasiridae","Gastrochaenidae","Lasaeidae","Galeommatidae","Solenidae","Pharidae","Hiatellidae","Pholadidae","Dreissenidae","Corbulidae","Myidae","Teredinidae","Cyrenidae","Cyrenoididae","Glauconomidae","Chamidae","Hemidonacidae","Trapezidae","Arcticidae","Glossidae","Veneridae","Kelliellidae","Vesicomyidae","Gaimardiidae","Cyamiidae","Ungulinidae","Mactridae","Sphaeriidae","Cardiidae","Solecurtidae","Psammobiidae","Semelidae","Donacidae","Tellinidae","Cleidothaeridae","Myochamidae","Periplomatidae","Thraciidae","Verticordiidae","Pandoridae","Lyonsiidae","Laternulidae","Poromyidae","Cuspidariidae","Crassatellidae","Astartidae","Carditidae","Iridinidae","Margaritifera","Unionidae","Hyriidae","Trigoniidae"
Gryphaeidae,1.2218,1.1322,1.1748,1.2131,1.1914,1.0252,0.4999,0.5504,0.4869,0.3774,0,0.2478,0.6226,0.5261,0.7313,0.7495,0.7486,0.7521,0.7712,0.7879,0.747,0.7896,0.8652,0.7843,0.8565,0.753,1.1889,1.168,1.3071,1.301,1.2923,1.2496,1.2731,1.3062,1.5793,1.548,1.4655,1.4863,1.4584,1.542,1.5524,1.5185,1.7316,1.6359,1.6037,1.5993,1.6054,1.6707,1.5394,1.542,1.4802,1.475,1.5037,1.4541,1.3845,1.5958,1.4567,1.4358,1.448,1.4514,1.3801,1.2244,1.4279,1.2332,1.2505,1.1775,1.2184,1.2984,1.1801,1.3845,1.2706,1.0261,1.0808,0.9931,1.1948,1.0713,1.067,0.9913,1.0087
Ostreidae,1.214,1.1244,1.167,1.2053,1.1836,1.0174,0.4921,0.5426,0.4791,0.3696,0.2478,0,0.6148,0.5183,0.7235,0.7417,0.7408,0.7443,0.7634,0.7801,0.7392,0.7818,0.8574,0.7765,0.8487,0.7452,1.1811,1.1602,1.2993,1.2932,1.2845,1.2418,1.2653,1.2984,1.5715,1.5402,1.4577,1.4785,1.4506,1.5342,1.5446,1.5107,1.7238,1.6281,1.5959,1.5915,1.5976,1.6629,1.5316,1.5342,1.4724,1.4672,1.4959,1.4463,1.3767,1.588,1.4489,1.428,1.4402,1.4436,1.3723,1.2166,1.4201,1.2254,1.2427,1.1697,1.2106,1.2906,1.1723,1.3767,1.2628,1.0183,1.073,0.9853,1.187,1.0635,1.0592,0.9835,1.0009
Mytilidae,1.1626,1.073,1.1156,1.1539,1.1322,0.966,0.5625,0.613,0.5495,0.44,0.6226,0.6148,0,0.3661,0.6721,0.6903,0.6894,0.6929,0.712,0.7287,0.6878,0.7304,0.806,0.7251,0.7973,0.6938,1.1297,1.1088,1.2479,1.2418,1.2331,1.1904,1.2139,1.247,1.5201,1.4888,1.4063,1.4271,1.3992,1.4828,1.4932,1.4593,1.6724,1.5767,1.5445,1.5401,1.5462,1.6115,1.4802,1.4828,1.421,1.4158,1.4445,1.3949,1.3253,1.5366,1.3975,1.3766,1.3888,1.3922,1.3209,1.1652,1.3687,1.174,1.1913,1.1183,1.1592,1.2392,1.1209,1.3253,1.2114,0.9669,1.0216,0.9339,1.1356,1.0121,1.0078,0.9321,0.9495
Pinnidae,1.0661,0.9765,1.0191,1.0574,1.0357,0.8695,0.466,0.5165,0.453,0.3435,0.5261,0.5183,0.3661,0,0.5756,0.5938,0.5929,0.5964,0.6155,0.6322,0.5913,0.6339,0.7095,0.6286,0.7008,0.5973,1.0332,1.0123,1.1514,1.1453,1.1366,1.0939,1.1174,1.1505,1.4236,1.3923,1.3098,1.3306,1.3027,1.3863,1.3967,1.3628,1.5759,1.4802,1.448,1.4436,1.4497,1.515,1.3837,1.3863,1.3245,1.3193,1.348,1.2984,1.2288,1.4401,1.301,1.2801,1.2923,1.2957,1.2244,1.0687,1.2722,1.0775,1.0948,1.0218,1.0627,1.1427,1.0244,1.2288,1.1149,0.8704,0.9251,0.8374,1.0391,0.9156,0.9113,0.8356,0.853
Arcidae,1.1165,1.0269,1.0695,1.1078,1.0861,0.9199,0.6712,0.7217,0.6582,0.5487,0.7313,0.7235,0.6721,0.5756,0,0.3104,0.3095,0.313,0.5373,0.554,0.5131,0.5557,0.6313,0.5504,0.6226,0.5191,1.0836,1.0627,1.2018,1.1957,1.187,1.1443,1.1678,1.2009,1.474,1.4427,1.3602,1.381,1.3531,1.4367,1.4471,1.4132,1.6263,1.5306,1.4984,1.494,1.5001,1.5654,1.4341,1.4367,1.3749,1.3697,1.3984,1.3488,1.2792,1.4905,1.3514,1.3305,1.3427,1.3461,1.2748,1.1191,1.3226,1.1279,1.1452,1.0722,1.1131,1.1931,1.0748,1.2792,1.1653,0.9208,0.9755,0.8878,1.0895,0.966,0.9617,0.886,0.9034
Noetiidae,1.1347,1.0451,1.0877,1.126,1.1043,0.9381,0.6894,0.7399,0.6764,0.5669,0.7495,0.7417,0.6903,0.5938,0.3104,0,0.3277,0.3312,0.5555,0.5722,0.5313,0.5739,0.6495,0.5686,0.6408,0.5373,1.1018,1.0809,1.22,1.2139,1.2052,1.1625,1.186,1.2191,1.4922,1.4609,1.3784,1.3992,1.3713,1.4549,1.4653,1.4314,1.6445,1.5488,1.5166,1.5122,1.5183,1.5836,1.4523,1.4549,1.3931,1.3879,1.4166,1.367,1.2974,1.5087,1.3696,1.3487,1.3609,1.3643,1.293,1.1373,1.3408,1.1461,1.1634,1.0904,1.1313,1.2113,1.093,1.2974,1.1835,0.939,0.9937,0.906,1.1077,0.9842,0.9799,0.9042,0.9216
Limopsidae,1.1338,1.0442,1.0868,1.1251,1.1034,0.9372,0.6885,0.739,0.6755,0.566,0.7486,0.7408,0.6894,0.5929,0.3095,0.3277,0,0.1669,0.5546,0.5713,0.5304,0.573,0.6486,0.5677,0.6399,0.5364,1.1009,1.08,1.2191,1.213,1.2043,1.1616,1.1851,1.2182,1.4913,1.46,1.3775,1.3983,1.3704,1.454,1.4644,1.4305,1.6436,1.5479,1.5157,1.5113,1.5174,1.5827,1.4514,1.454,1.3922,1.387,1.4157,1.3661,1.2965,1.5078,1.3687,1.3478,1.36,1.3634,1.2921,1.1364,1.3399,1.1452,1.1625,1.0895,1.1304,1.2104,1.0921,1.2965,1.1826,0.9381,0.9928,0.9051,1.1068,0.9833,0.979,0.9033,0.9207
Glycymerididae,1.1373,1.0477,1.0903,1.1286,1.1069,0.9407,0.692,0.7425,0.679,0.5695,0.7521,0.7443,0.6929,0.5964,0.313,0.3312,0.1669,0,0.5581,0.5748,0.5339,0.5765,0.6521,0.5712,0.6434,0.5399,1.1044,1.0835,1.2226,1.2165,1.2078,1.1651,1.1886,1.2217,1.4948,1.4635,1.381,1.4018,1.3739,1.4575,1.4679,1.434,1.6471,1.5514,1.5192,1.5148,1.5209,1.5862,1.4549,1.4575,1.3957,1.3905,1.4192,1.3696,1.3,1.5113,1.3722,1.3513,1.3635,1.3669,1.2956,1.1399,1.3434,1.1487,1.166,1.093,1.1339,1.2139,1.0956,1.3,1.1861,0.9416,0.9963,0.9086,1.1103,0.9868,0.9825,0.9068,0.9242
Limidae,1.1564,1.0668,1.1094,1.1477,1.126,0.9598,0.7111,0.7616,0.6981,0.5886,0.7712,0.7634,0.712,0.6155,0.5373,0.5555,0.5546,0.5581,0,0.4757,0.4348,0.4774,0.553,0.4721,0.5443,0.4408,1.1235,1.1026,1.2417,1.2356,1.2269,1.1842,1.2077,1.2408,1.5139,1.4826,1.4001,1.4209,1.393,1.4766,1.487,1.4531,1.6662,1.5705,1.5383,1.5339,1.54,1.6053,1.474,1.4766,1.4148,1.4096,1.4383,1.3887,1.3191,1.5304,1.3913,1.3704,1.3826,1.386,1.3147,1.159,1.3625,1.1678,1.1851,1.1121,1.153,1.233,1.1147,1.3191,1.2052,0.9607,1.0154,0.9277,1.1294,1.0059,1.0016,0.9259,0.9433
Anomiidae,1.1731,1.0835,1.1261,1.1644,1.1427,0.9765,0.7278,0.7783,0.7148,0.6053,0.7879,0.7801,0.7287,0.6322,0.554,0.5722,0.5713,0.5748,0.4757,0,0.1487,0.2313,0.3435,0.4174,0.4896,0.3861,1.1402,1.1193,1.2584,1.2523,1.2436,1.2009,1.2244,1.2575,1.5306,1.4993,1.4168,1.4376,1.4097,1.4933,1.5037,1.4698,1.6829,1.5872,1.555,1.5506,1.5567,1.622,1.4907,1.4933,1.4315,1.4263,1.455,1.4054,1.3358,1.5471,1.408,1.3871,1.3993,1.4027,1.3314,1.1757,1.3792,1.1845,1.2018,1.1288,1.1697,1.2497,1.1314,1.3358,1.2219,0.9774,1.0321,0.9444,1.1461,1.0226,1.0183,0.9426,0.96
Dimyidae,1.1322,1.0426,1.0852,1.1235,1.1018,0.9356,0.6869,0.7374,0.6739,0.5644,0.747,0.7392,0.6878,0.5913,0.5131,0.5313,0.5304,0.5339,0.4348,0.1487,0,0.1904,0.3026,0.3765,0.4487,0.3452,1.0993,1.0784,1.2175,1.2114,1.2027,1.16,1.1835,1.2166,1.4897,1.4584,1.3759,1.3967,1.3688,1.4524,1.4628,1.4289,1.642,1.5463,1.5141,1.5097,1.5158,1.5811,1.4498,1.4524,1.3906,1.3854,1.4141,1.3645,1.2949,1.5062,1.3671,1.3462,1.3584,1.3618,1.2905,1.1348,1.3383,1.1436,1.1609,1.0879,1.1288,1.2088,1.0905,1.2949,1.181,0.9365,0.9912,0.9035,1.1052,0.9817,0.9774,0.9017,0.9191
Plicatulidae,1.1748,1.0852,1.1278,1.1661,1.1444,0.9782,0.7295,0.78,0.7165,0.607,0.7896,0.7818,0.7304,0.6339,0.5557,0.5739,0.573,0.5765,0.4774,0.2313,0.1904,0,0.3452,0.4191,0.4913,0.3878,1.1419,1.121,1.2601,1.254,1.2453,1.2026,1.2261,1.2592,1.5323,1.501,1.4185,1.4393,1.4114,1.495,1.5054,1.4715,1.6846,1.5889,1.5567,1.5523,1.5584,1.6237,1.4924,1.495,1.4332,1.428,1.4567,1.4071,1.3375,1.5488,1.4097,1.3888,1.401,1.4044,1.3331,1.1774,1.3809,1.1862,1.2035,1.1305,1.1714,1.2514,1.1331,1.3375,1.2236,0.9791,1.0338,0.9461,1.1478,1.0243,1.02,0.9443,0.9617
Placunidae,1.2504,1.1608,1.2034,1.2417,1.22,1.0538,0.8051,0.8556,0.7921,0.6826,0.8652,0.8574,0.806,0.7095,0.6313,0.6495,0.6486,0.6521,0.553,0.3435,0.3026,0.3452,0,0.4947,0.5669,0.4634,1.2175,1.1966,1.3357,1.3296,1.3209,1.2782,1.3017,1.3348,1.6079,1.5766,1.4941,1.5149,1.487,1.5706,1.581,1.5471,1.7602,1.6645,1.6323,1.6279,1.634,1.6993,1.568,1.5706,1.5088,1.5036,1.5323,1.4827,1.4131,1.6244,1.4853,1.4644,1.4766,1.48,1.4087,1.253,1.4565,1.2618,1.2791,1.2061,1.247,1.327,1.2087,1.4131,1.2992,1.0547,1.1094,1.0217,1.2234,1.0999,1.0956,1.0199,1.0373
Pectinidae,1.1695,1.0799,1.1225,1.1608,1.1391,0.9729,0.7242,0.7747,0.7112,0.6017,0.7843,0.7765,0.7251,0.6286,0.5504,0.5686,0.5677,0.5712,0.4721,0.4174,0.3765,0.4191,0.4947,0,0.2548,0.2243,1.1366,1.1157,1.2548,1.2487,1.24,1.1973,1.2208,1.2539,1.527,1.4957,1.4132,1.434,1.4061,1.4897,1.5001,1.4662,1.6793,1.5836,1.5514,1.547,1.5531,1.6184,1.4871,1.4897,1.4279,1.4227,1.4514,1.4018,1.3322,1.5435,1.4044,1.3835,1.3957,1.3991,1.3278,1.1721,1.3756,1.1809,1.1982,1.1252,1.1661,1.2461,1.1278,1.3322,1.2183,0.9738,1.0285,0.9408,1.1425,1.019,1.0147,0.939,0.9564
Spondylidae,1.2417,1.1521,1.1947,1.233,1.2113,1.0451,0.7964,0.8469,0.7834,0.6739,0.8565,0.8487,0.7973,0.7008,0.6226,0.6408,0.6399,0.6434,0.5443,0.4896,0.4487,0.4913,0.5669,0.2548,0,0.2965,1.2088,1.1879,1.327,1.3209,1.3122,1.2695,1.293,1.3261,1.5992,1.5679,1.4854,1.5062,1.4783,1.5619,1.5723,1.5384,1.7515,1.6558,1.6236,1.6192,1.6253,1.6906,1.5593,1.5619,1.5001,1.4949,1.5236,1.474,1.4044,1.6157,1.4766,1.4557,1.4679,1.4713,1.4,1.2443,1.4478,1.2531,1.2704,1.1974,1.2383,1.3183,1.2,1.4044,1.2905,1.046,1.1007,1.013,1.2147,1.0912,1.0869,1.0112,1.0286
Propeamussiidae,1.1382,1.0486,1.0912,1.1295,1.1078,0.9416,0.6929,0.7434,0.6799,0.5704,0.753,0.7452,0.6938,0.5973,0.5191,0.5373,0.5364,0.5399,0.4408,0.3861,0.3452,0.3878,0.4634,0.2243,0.2965,0,1.1053,1.0844,1.2235,1.2174,1.2087,1.166,1.1895,1.2226,1.4957,1.4644,1.3819,1.4027,1.3748,1.4584,1.4688,1.4349,1.648,1.5523,1.5201,1.5157,1.5218,1.5871,1.4558,1.4584,1.3966,1.3914,1.4201,1.3705,1.3009,1.5122,1.3731,1.3522,1.3644,1.3678,1.2965,1.1408,1.3443,1.1496,1.1669,1.0939,1.1348,1.2148,1.0965,1.3009,1.187,0.9425,0.9972,0.9095,1.1112,0.9877,0.9834,0.9077,0.9251
Lucinidae,1.2367,1.1471,1.1897,1.228,1.2063,1.0401,1.1288,1.1793,1.1158,1.0063,1.1889,1.1811,1.1297,1.0332,1.0836,1.1018,1.1009,1.1044,1.1235,1.1402,1.0993,1.1419,1.2175,1.1366,1.2088,1.1053,0,0.3705,0.647,0.6409,0.6322,0.5895,0.613,0.6461,0.9192,0.8879,0.8054,0.8262,0.7983,0.8819,0.8923,0.8584,1.0715,0.9758,0.9436,0.9392,0.9453,1.0106,0.8793,0.8819,0.8201,0.8149,0.8436,0.794,0.7244,0.9357,0.7966,0.7757,0.7879,0.7913,0.72,0.7383,0.9418,0.7471,0.7644,0.6914,0.7323,0.8123,0.694,0.8984,0.7845,0.754,0.8087,0.721,0.9227,0.7992,0.7949,0.7192,0.7366
Thyasiridae,1.2158,1.1262,1.1688,1.2071,1.1854,1.0192,1.1079,1.1584,1.0949,0.9854,1.168,1.1602,1.1088,1.0123,1.0627,1.0809,1.08,1.0835,1.1026,1.1193,1.0784,1.121,1.1966,1.1157,1.1879,1.0844,0.3705,0,0.6261,0.62,0.6113,0.5686,0.5921,0.6252,0.8983,0.867,0.7845,0.8053,0.7774,0.861,0.8714,0.8375,1.0506,0.9549,0.9227,0.9183,0.9244,0.9897,0.8584,0.861,0.7992,0.794,0.8227,0.7731,0.7035,0.9148,0.7757,0.7548,0.767,0.7704,0.6991,0.7174,0.9209,0.7262,0.7435,0.6705,0.7114,0.7914,0.6731,0.8775,0.7636,0.7331,0.7878,0.7001,0.9018,0.7783,0.774,0.6983,0.7157
Gastrochaenidae,1.3549,1.2653,1.3079,1.3462,1.3245,1.1583,1.247,1.2975,1.234,1.1245,1.3071,1.2993,1.2479,1.1514,1.2018,1.22,1.2191,1.2226,1.2417,1.2584,1.2175,1.2601,1.3357,1.2548,1.327,1.2235,0.647,0.6261,0,0.4861,0.4774,0.5791,0.6026,0.6357,0.9088,0.8775,0.795,0.8158,0.7879,0.8715,0.8819,0.848,1.0611,0.9654,0.9332,0.9288,0.9349,1.0002,0.8689,0.8715,0.8097,0.8045,0.8332,0.7836,0.714,0.9253,0.7862,0.7653,0.7775,0.7809,0.7096,0.8565,1.06,0.8653,0.8826,0.8096,0.8505,0.9305,0.8122,1.0166,0.9027,0.8722,0.9269,0.8392,1.0409,0.9174,0.9131,0.8374,0.8548
Lasaeidae,1.3488,1.2592,1.3018,1.3401,1.3184,1.1522,1.2409,1.2914,1.2279,1.1184,1.301,1.2932,1.2418,1.1453,1.1957,1.2139,1.213,1.2165,1.2356,1.2523,1.2114,1.254,1.3296,1.2487,1.3209,1.2174,0.6409,0.62,0.4861,0,0.1113,0.573,0.5965,0.6296,0.9027,0.8714,0.7889,0.8097,0.7818,0.8654,0.8758,0.8419,1.055,0.9593,0.9271,0.9227,0.9288,0.9941,0.8628,0.8654,0.8036,0.7984,0.8271,0.7775,0.7079,0.9192,0.7801,0.7592,0.7714,0.7748,0.7035,0.8504,1.0539,0.8592,0.8765,0.8035,0.8444,0.9244,0.8061,1.0105,0.8966,0.8661,0.9208,0.8331,1.0348,0.9113,0.907,0.8313,0.8487
Galeommatidae,1.3401,1.2505,1.2931,1.3314,1.3097,1.1435,1.2322,1.2827,1.2192,1.1097,1.2923,1.2845,1.2331,1.1366,1.187,1.2052,1.2043,1.2078,1.2269,1.2436,1.2027,1.2453,1.3209,1.24,1.3122,1.2087,0.6322,0.6113,0.4774,0.1113,0,0.5643,0.5878,0.6209,0.894,0.8627,0.7802,0.801,0.7731,0.8567,0.8671,0.8332,1.0463,0.9506,0.9184,0.914,0.9201,0.9854,0.8541,0.8567,0.7949,0.7897,0.8184,0.7688,0.6992,0.9105,0.7714,0.7505,0.7627,0.7661,0.6948,0.8417,1.0452,0.8505,0.8678,0.7948,0.8357,0.9157,0.7974,1.0018,0.8879,0.8574,0.9121,0.8244,1.0261,0.9026,0.8983,0.8226,0.84
Solenidae,1.2974,1.2078,1.2504,1.2887,1.267,1.1008,1.1895,1.24,1.1765,1.067,1.2496,1.2418,1.1904,1.0939,1.1443,1.1625,1.1616,1.1651,1.1842,1.2009,1.16,1.2026,1.2782,1.1973,1.2695,1.166,0.5895,0.5686,0.5791,0.573,0.5643,0,0.2269,0.3434,0.7191,0.6878,0.6053,0.6261,0.5982,0.6818,0.6922,0.6583,0.8714,0.7757,0.7435,0.7391,0.7452,0.8105,0.6792,0.6818,0.62,0.6148,0.6435,0.5939,0.5243,0.7356,0.5965,0.5756,0.5878,0.5912,0.5199,0.799,1.0025,0.8078,0.8251,0.7521,0.793,0.873,0.7547,0.9591,0.8452,0.8147,0.8694,0.7817,0.9834,0.8599,0.8556,0.7799,0.7973
